"country","products","avg_price","median_price","avg_price_per_u","min_price","max_price","sd_price","q1","q3","iqr"
"Singapore",20,707.524,748.92,28.39,162.74,1401.46,399.77848743365,241.9375,981.575,739.6375
"Indonesia",24,464.664583333333,414.7,17.6458333333333,121.8,1026.6,275.805750199841,340.75,475.6,134.85
"Kenya",118,374.820338983051,346.5,14.1567796610169,42.35,2040.5,272.045080769391,215.6,452.375,236.775
"Vietnam",36,261.958721111111,296.4,9.05833333333333,51.528,607.41252,186.797229071585,72.485,425.6,353.115
"South Africa",23,364.406043478261,272.426,15.8086956521739,87.718,1090.863,280.475348049518,136.2435,520.1775,383.934
"Nigeria",11,243.555341818182,200.76314,8.32727272727273,34.31,567.16401,199.129815561222,77.766535,393.193695,315.42716
